2026-02-15 02:47:45,928 DEBUG: Attempting to send verification email to hamzi207@gmail.com
2026-02-15 02:47:46,062 DEBUG: Initializing EmailService. Key present: True
2026-02-15 02:47:46,062 DEBUG: Key value (first 4): your
2026-02-15 02:47:46,062 \u26a0\ufe0f  Email service disabled. Key: your_resend_api_key_here
2026-02-15 02:47:46,063 DEBUG: Email sent result: False
2026-02-15 02:49:25,544 DEBUG: Attempting to send verification email to hamzi207@gmail.com
2026-02-15 02:49:25,545 DEBUG: Email sent result: False
2026-02-15 02:50:04,366 DEBUG: Attempting to send verification email to hamzi207@gmail.com
2026-02-15 02:50:04,507 DEBUG: Initializing EmailService. Key present: True
2026-02-15 02:50:04,507 DEBUG: Key value (first 4): your
2026-02-15 02:50:04,507 \u26a0\ufe0f  Email service disabled. Key: your_resend_api_key_here
2026-02-15 02:50:04,508 DEBUG: Email sent result: False
2026-02-15 02:51:16,900 DEBUG: Attempting to send verification email to hamzi207@gmail.com
2026-02-15 02:51:17,017 DEBUG: Initializing EmailService. Key present: True
2026-02-15 02:51:17,017 DEBUG: Key value (first 4): re_c
2026-02-15 02:51:17,017 \u2705 Email service initialized (Resend)
2026-02-15 02:51:17,019 Starting new HTTPS connection (1): api.resend.com:443
2026-02-15 02:51:17,907 https://api.resend.com:443 "POST /emails HTTP/1.1" 200 None
2026-02-15 02:51:17,910 \u2705 Verification email sent to hamzi207@gmail.com (ID: f6778ae9-28b2-4bb0-9dde-b8c79391f7df)
2026-02-15 02:51:17,910 DEBUG: Email sent result: True
2026-02-15 02:56:53,765 --- BACKEND STARTING ---
2026-02-15 02:56:54,136 DEBUG: Loading auth.py module
2026-02-15 02:57:28,405 --- BACKEND STARTING ---
2026-02-15 02:57:29,047 DEBUG: Loading auth.py module
2026-02-15 02:58:41,624 --- BACKEND STARTING ---
2026-02-15 02:58:42,063 DEBUG: Loading auth.py module
2026-02-15 02:59:08,406 DEBUG: Attempting to send verification email to hamzi207@gmail.com
2026-02-15 02:59:08,554 DEBUG: Initializing EmailService. Key present: True
2026-02-15 02:59:08,555 DEBUG: Key value (first 4): re_c
2026-02-15 02:59:08,555 \u2705 Email service initialized (Resend)
2026-02-15 02:59:08,556 Starting new HTTPS connection (1): api.resend.com:443
2026-02-15 02:59:09,171 https://api.resend.com:443 "POST /emails HTTP/1.1" 200 None
2026-02-15 02:59:09,173 \u2705 Verification email sent to hamzi207@gmail.com (ID: 897dedc2-dc2b-44e1-ab4e-4da8c92ed20c)
2026-02-15 02:59:09,173 DEBUG: Email sent result: True
2026-02-15 03:01:21,300 --- BACKEND STARTING ---
2026-02-15 03:01:21,793 DEBUG: Loading auth.py module
2026-02-15 03:01:23,543 --- BACKEND STARTING ---
2026-02-15 03:01:23,957 DEBUG: Loading auth.py module
2026-02-15 03:01:46,068 --- BACKEND STARTING ---
2026-02-15 03:01:46,461 DEBUG: Loading auth.py module
2026-02-15 03:01:58,476 --- BACKEND STARTING ---
2026-02-15 03:01:58,823 DEBUG: Loading auth.py module
2026-02-15 03:02:33,631 Calling on_part_begin with no data
2026-02-15 03:02:33,631 Calling on_header_field with data[42:61]
2026-02-15 03:02:33,632 Calling on_header_value with data[63:89]
2026-02-15 03:02:33,632 Calling on_header_end with no data
2026-02-15 03:02:33,632 Calling on_headers_finished with no data
2026-02-15 03:02:33,632 Calling on_part_data with data[93:111]
2026-02-15 03:02:33,632 Calling on_part_end with no data
2026-02-15 03:02:33,632 Calling on_part_begin with no data
2026-02-15 03:02:33,632 Calling on_header_field with data[155:174]
